1,2,tao,tao,系统管理模块,1,2,1
2,2,tao,tao/admin.config,配置管理,2,1,1
3,2,tao,tao/admin.config/save,保存配置,3,1,1
4,2,tao,tao/admin.config/reload,重载缓存,3,1,1
5,2,tao,tao/admin.config/index,数据列表,3,1,1
6,2,tao,tao/admin.menu,菜单管理,2,1,1
7,2,tao,tao/admin.menu/add,添加菜单,3,1,1
8,2,tao,tao/admin.menu/edit,编辑菜单,3,1,1
9,2,tao,tao/admin.menu/index,数据列表,3,1,1
10,2,tao,tao/admin.menu/modify,属性快捷修改,3,1,1
11,2,tao,tao/admin.menu/delete,删除记录,3,1,1
12,2,tao,tao/admin.node,节点管理,2,1,1
13,2,tao,tao/admin.node/reload,更新节点,3,1,1
14,2,tao,tao/admin.node/index,数据列表,3,1,1
15,2,tao,tao/admin.node/modify,属性快捷修改,3,1,1
16,2,tao,tao/admin.role,角色管理,2,1,1
17,2,tao,tao/admin.role/edit,编辑角色,3,1,1
18,2,tao,tao/admin.role/add,添加角色,3,1,1
19,2,tao,tao/admin.role/authorize,角色授权,3,1,1
20,2,tao,tao/admin.role/index,数据列表,3,1,1
21,2,tao,tao/admin.role/modify,属性快捷修改,3,1,1
22,2,tao,tao/admin.role/delete,删除记录,3,1,1
23,2,tao,tao/admin.user,用户管理,2,1,1
24,2,tao,tao/admin.user/add,添加用户,3,1,1
25,2,tao,tao/admin.user/edit,编辑用户,3,1,1
26,2,tao,tao/admin.user/password,修改用户密码,3,1,1
27,2,tao,tao/admin.user/index,数据列表,3,1,1
28,2,tao,tao/admin.user/modify,属性快捷修改,3,1,1
29,2,tao,tao/admin.user/delete,删除记录,3,1,1
92,2,tao,tao.cms/admin.ad,广告管理,2,1,1
93,2,tao,tao.cms/admin.ad/add,添加记录,3,2,1
94,2,tao,tao.cms/admin.ad/edit,编辑记录,3,2,1
95,2,tao,tao.cms/admin.ad/index,数据列表,3,1,1
96,2,tao,tao.cms/admin.ad/modify,属性快捷修改,3,1,1
97,2,tao,tao.cms/admin.ad/delete,删除记录,3,1,1
98,2,tao,tao.cms/admin.album,图集管理,2,1,1
99,2,tao,tao.cms/admin.album/edit,修改图集,3,1,1
100,2,tao,tao.cms/admin.album/preview,图集预览,3,1,1
101,2,tao,tao.cms/admin.album/index,数据列表,3,1,1
102,2,tao,tao.cms/admin.album/add,添加记录,3,1,1
103,2,tao,tao.cms/admin.album/modify,属性快捷修改,3,1,1
104,2,tao,tao.cms/admin.album/delete,删除记录,3,1,1
105,2,tao,tao.cms/admin.article,文章管理,2,1,1
106,2,tao,tao.cms/admin.article/index,文章列表,3,1,1
